sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
3526,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
3522,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
3514,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
3494,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
3490,1619,5. května,163,Louny,Louny,44001,Ústecký kraj,50.3523365,13.8142825
3489,1619,5. května,163,Louny,Louny,44001,Ústecký kraj,50.3523365,13.8142825
3482,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
3481,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
3456,766,Masarykova,1335,Žatec,Žatec,43801,Ústecký kraj,50.3257865,13.5443294
3441,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
3405,1591,None,63,Velké Žernoseky,Velké Žernoseky,41201,Ústecký kraj,50.5393735,14.0642306
3384,1585,Mírové náměstí,1,Kadaň,Kadaň,43201,Ústecký kraj,50.3765605,13.270113
3379,1581,Husovo náměstí,42,Bohušovice nad Ohří,Bohušovice nad Ohří,41156,Ústecký kraj,50.49328,14.149977
3377,1579,nám. ČSA,179,Terezín,Terezín,41155,Ústecký kraj,50.5114815,14.1492969
3370,1576,Jiráskova,143,Čížkovice,Čížkovice,41112,Ústecký kraj,50.483493,14.030021
3347,1563,Farní,36,Nové Sedlo,Nové Sedlo,43801,Ústecký kraj,50.3387776,13.4762276
3331,29,Žižkova,151,Horní Litvínov,Litvínov,43601,Ústecký kraj,50.6023318,13.6140069
3329,29,Žižkova,151,Horní Litvínov,Litvínov,43601,Ústecký kraj,50.6023318,13.6140069
3325,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
3322,1550,J. E. Purkyně,270/5,Most,Most,43401,Ústecký kraj,50.5076591,13.6273796
3276,1025,Jungmannova,1024,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.422992,14.256058
3275,1025,Jungmannova,1024,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.422992,14.256058
3267,1524,Partyzánská,1/7,Holešovice,Praha,17000,Hlavní město Praha,50.1074724,14.4362478
3262,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
3260,296,Kosmonautů,2022,Předměstí,Litoměřice,41201,Ústecký kraj,50.5380521,14.123496
3181,1485,Krakovská,1695/21,Nové Město,Praha,11000,Hlavní město Praha,50.0793351,14.4282491
3173,1485,Krakovská,1695/21,Nové Město,Praha,11000,Hlavní město Praha,50.0793351,14.4282491
3155,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
3121,1468,Krakovská,1695/21,Nové Město,Praha,11000,Hlavní město Praha,50.0793351,14.4282491
3039,1441,Opletalova,921/6,Nové Město,Praha,11000,Hlavní město Praha,50.0811171,14.4296172
2981,1431,Na strži,1683/40,Krč,Praha,14000,Hlavní město Praha,50.0486332,14.4409212
2980,1431,Na strži,1683/40,Krč,Praha,14000,Hlavní město Praha,50.0486332,14.4409212
2978,1431,Na strži,1683/40,Krč,Praha,14000,Hlavní město Praha,50.0486332,14.4409212
2972,1425,None,112,Polepy,Polepy,41147,Ústecký kraj,50.5063165,14.2647697
2963,1422,U Kanálky,1559/5,Vinohrady,Praha,12000,Hlavní město Praha,50.0776061,14.4459008
2940,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
2939,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
2855,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
2825,792,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
2811,743,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
2809,743,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
2777,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
2731,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
2689,228,Lomená,47/2,Most,Most,43401,Ústecký kraj,50.5103141,13.6284795
2688,228,Lomená,47/2,Most,Most,43401,Ústecký kraj,50.5103141,13.6284795
2673,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
2672,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
2660,162,Svážná,1528,Most,Most,43401,Ústecký kraj,50.5088942,13.6228219
2636,24,Rybářské náměstí,662/4,Předměstí,Litoměřice,41201,Ústecký kraj,50.532626,14.1256763
2611,1355,Dukelských hrdinů,969/6,Holešovice,Praha,17000,Hlavní město Praha,50.0981913,14.4334454
